City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hobart,-42.8794,147.3294,16.81,95,75,0.0,AU,1675984050
84,elizabeth city,36.2946,-76.2511,20.01,67,0,4.12,US,1675983858
85,kanniyakumari,8.0833,77.5667,24.08,69,27,4.87,IN,1675984051
86,pisco,-13.7,-76.2167,24.03,83,0,9.26,PE,1675984052
87,tarauaca,-8.1614,-70.7656,23.99,95,58,0.88,BR,1675984052
88,sahuaripa,29.05,-109.2333,24.95,10,15,2.63,MX,1675984052
89,avarua,-21.2078,-159.775,27.03,78,100,2.06,CK,1675984053
90,lata,40.1629,-8.3327,6.62,79,0,2.26,PT,1675984054
91,alta gracia,-31.6529,-64.4283,30.49,48,6,2.09,AR,1675984054
92,leningradskiy,69.3833,178.4167,-33.15,99,100,2.97,RU,1675984055
93,north platte,41.1239,-100.7654,-0.06,79,100,7.72,US,1675984055
94,trapani,37.8333,12.6667,7.38,91,100,4.34,IT,1675984056
95,atuona,-9.8,-139.0333,26.21,77,17,9.7,PF,1675984057
96,tanda,26.55,82.65,11.97,55,0,0.96,IN,1675984057
97,cockburn town,21.4612,-71.1419,24.99,77,0,10.52,TC,1675984057
98,ballina,-28.8667,153.5667,24.32,86,34,3.68,AU,1675984058
99,port elizabeth,-33.918,25.5701,20.05,88,25,2.61,ZA,1675984058
100,ishigaki,24.3448,124.1572,22.3,80,38,5.48,JP,1675984059
101,bayir,37.2687,28.2167,2.29,65,2,1.86,TR,1675984059
102,naze,28.3667,129.4833,18.51,91,100,10.75,JP,1675984060
103,carutapera,-1.195,-46.02,24.59,92,31,2.56,BR,1675984060
104,saldanha,-33.0117,17.9442,18.36,89,3,3.22,ZA,1675984061
105,georgetown,5.4112,100.3354,26.96,89,40,1.54,MY,1675984061
106,tungor,53.3808,142.9564,-30.36,96,17,4.18,RU,1675984062
107,chihuahua,28.5,-106.0,16.78,13,49,4.65,MX,1675983708
108,poronaysk,49.2167,143.1167,-27.12,95,16,1.07,RU,1675984062
109,nuevo laredo,27.4763,-99.5164,24.15,20,40,5.14,MX,1675984063
110,roald,62.5833,6.1333,3.75,64,40,13.38,NO,1675984063
111,vizinga,61.0749,50.1031,-1.91,89,100,4.97,RU,1675984063
112,wasco,35.5941,-119.341,19.82,43,0,1.72,US,1675984064
113,cotonou,6.3654,2.4183,27.26,86,72,5.5,BJ,1675984064
114,mayo,38.8876,-76.5119,20.28,71,75,6.69,US,1675984064
115,porto santo,33.072,-16.3415,16.21,63,75,6.17,PT,1675984065
116,burnie,-41.0667,145.9167,18.86,77,100,4.69,AU,1675984065
117,provideniya,64.3833,-173.3,-19.94,65,100,3.0,RU,1675984066
118,bagdarin,54.4333,113.6,-23.98,99,86,1.16,RU,1675984066
119,turayf,31.6725,38.6637,4.88,57,62,4.78,SA,1675984066
120,okha,53.5739,142.9478,-30.27,97,23,4.54,RU,1675984067
121,burgeo,47.6167,-57.6152,-9.53,78,57,6.95,CA,1675984067
122,male,4.1748,73.5089,26.97,78,75,4.63,MV,1675984068
123,asau,46.4333,26.4,-12.49,85,4,2.59,RO,1675984068
124,geraldton,-28.7667,114.6,24.23,78,75,7.72,AU,1675984068
125,wageningen,51.9667,5.6667,3.91,96,75,1.03,NL,1675984069
126,hukuntsi,-24.0,21.75,22.71,39,10,3.0,BW,1675984069
127,beauceville,46.2179,-70.7787,-0.19,59,100,1.54,CA,1675983998
128,cherskiy,68.75,161.3,-43.22,100,99,2.46,RU,1675984070
129,boulder city,35.9786,-114.8325,14.69,11,0,4.63,US,1675984070
130,emba,48.8264,58.1442,-20.2,100,24,1.27,KZ,1675984070
131,hamilton,39.1834,-84.5333,10.52,71,100,13.89,US,1675984071
132,khed,17.7167,73.3833,21.82,38,11,1.41,IN,1675984071
133,ancud,-41.8697,-73.8203,15.99,89,66,2.95,CL,1675984072
134,san patricio,28.017,-97.5169,22.05,33,16,3.93,US,1675984072
135,springdale,36.1867,-94.1288,12.85,57,100,1.54,US,1675984072
136,ocampo,21.65,-101.5,20.42,24,47,3.94,MX,1675984073
137,laguna,38.421,-121.4238,20.05,55,0,2.57,US,1675983783
138,hilo,19.7297,-155.09,24.6,85,100,5.14,US,1675983834
139,sur,22.5667,59.5289,21.09,68,9,3.1,OM,1675984073
140,sint-truiden,50.8154,5.184,4.22,84,99,2.5,BE,1675984074
141,ponta do sol,32.6667,-17.1,15.0,74,41,5.33,PT,1675984074
142,nhulunbuy,-12.2333,136.7667,29.34,84,87,1.54,AU,1675984075
143,bredasdorp,-34.5322,20.0403,20.31,85,24,4.98,ZA,1675984075
144,marchena,37.329,-5.4168,11.68,74,42,7.0,ES,1675984075
145,mahebourg,-20.4081,57.7,25.7,75,9,5.91,MU,1675984076
146,luwero,0.8492,32.4731,20.02,69,54,1.07,UG,1675984076
147,upernavik,72.7868,-56.1549,-33.16,98,84,2.53,GL,1675984076
148,thompson,55.7435,-97.8558,-18.56,96,83,0.86,CA,1675984077
149,genhe,50.7833,121.5167,-20.21,99,100,0.57,CN,1675984077
150,hasaki,35.7333,140.8333,2.9,63,100,5.96,JP,1675984078
151,acapulco,16.8634,-99.8901,28.88,53,28,4.43,MX,1675983626
152,miura,35.14,139.6192,5.02,59,100,4.87,JP,1675984078
153,cabra,37.4725,-4.4421,7.8,81,89,0.67,ES,1675984079
154,tuskegee,32.424,-85.6916,18.96,96,100,1.88,US,1675983929
155,yar-sale,66.8333,70.8333,-10.34,89,100,7.35,RU,1675984079
156,cocula,20.3652,-103.8222,26.7,21,80,4.06,MX,1675984080
157,abalak,58.1286,68.5944,-10.4,98,96,2.1,RU,1675984080
158,tasiilaq,65.6145,-37.6368,-3.91,60,100,4.81,GL,1675984080
159,lake charles,30.2131,-93.2044,20.99,44,0,6.17,US,1675983844
160,lebu,-37.6167,-73.65,17.5,84,2,3.92,CL,1675984081
161,tuatapere,-46.1333,167.6833,16.08,45,56,0.82,NZ,1675984081
162,olafsvik,64.8945,-23.7142,-0.56,73,96,6.75,IS,1675984082
163,katsuura,35.1333,140.3,4.01,71,100,6.29,JP,1675984082
164,ouadda,8.0777,22.4007,18.9,17,9,2.65,CF,1675984083
165,dharchula,29.85,80.5333,9.94,65,86,2.08,IN,1675984084
166,kedrovyy,56.1667,91.8167,-28.77,100,100,1.05,RU,1675984085
167,pevek,69.7008,170.3133,-30.12,97,100,1.98,RU,1675984087
168,luderitz,-26.6481,15.1594,17.75,91,10,3.98,NA,1675984088
169,nebolchi,59.1239,33.3454,-4.13,91,84,5.58,RU,1675984089
170,cabo san lucas,22.8909,-109.9124,27.61,48,20,3.09,MX,1675984016
171,mnogovershinnyy,53.9353,139.9242,-30.68,94,20,1.89,RU,1675984089
172,saskylakh,71.9167,114.0833,-43.5,98,54,3.06,RU,1675984090
173,dali,25.7,100.1833,3.42,75,0,1.94,CN,1675984091
174,leshukonskoye,64.8989,45.7622,-0.87,91,100,5.58,RU,1675984091
175,caravelas,-17.7125,-39.2481,24.68,79,96,2.87,BR,1675984092
176,san cristobal,7.7669,-72.225,21.1,80,95,0.76,VE,1675984093
177,barrow,71.2906,-156.7887,-27.99,76,100,2.06,US,1675984094
178,balkhash,46.844,74.9804,-14.17,94,95,2.33,KZ,1675984095
179,araouane,18.9048,-3.5265,23.33,14,4,6.81,ML,1675984096
180,usak,38.5,29.4167,-3.74,78,3,3.65,TR,1675984097
181,kirando,-7.4167,30.6,21.67,75,55,2.01,TZ,1675984098
182,sao joao da barra,-21.6403,-41.0511,25.05,90,88,3.31,BR,1675983912
183,quechultenango,17.4167,-99.2167,28.44,33,89,3.26,MX,1675984098
184,litovko,49.2361,135.1742,-28.52,100,82,0.38,RU,1675984099
185,port alfred,-33.5906,26.891,20.1,97,100,2.39,ZA,1675984100
186,bocanda,7.0626,-4.4995,27.55,67,98,3.37,CI,1675984100
187,teberda,43.4456,41.7448,-8.14,89,50,1.95,RU,1675984101
188,senanga,-16.1167,23.2667,19.35,95,100,1.84,ZM,1675984102
189,ribeira grande,38.5167,-28.7,14.87,71,69,6.26,PT,1675984102
